plot_id,land_type,area_mu,source_note
A1,平旱地,80.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
A2,平旱地,55.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
A3,平旱地,35.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
A4,平旱地,72.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
A5,平旱地,68.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
A6,平旱地,55.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
B1,梯田,60.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
B2,梯田,46.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
B3,梯田,40.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
B4,梯田,28.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
B5,梯田,25.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
B6,梯田,86.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
B7,梯田,55.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
B8,梯田,44.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
B9,梯田,50.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
B10,梯田,25.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
B11,梯田,60.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
